行,名前,ローマ字
シ,シーア,shi-a
シ,GFRIEND,gfriend
シ,篠崎愛,shinozaki-ai
シ,ビリー・ジョエル,birijoeru
シ,ショコラ,shokora
シ,丈青,take-ao
シ,C&K,c-k
シ,湘南乃風,shounan-no-kaze
シ,SIX LOUNGE,six-lounge
シ,ZIGGY,ziggy
シ,清水翔太,shimizu-shou-ta
シ,Siena Wind Orchestra,siena-wind-orchestra
シ,SING LIKE TALKING,sing-like-talking
シ,シリア・ポール,shiria-po-ru
シ,Judas Priest,judas-priest
ス,菅田将暉,sugata-shou-ki
ス,Superfly,superfly
ス,sumika,sumika
ス,スピッツ,supittsu
ス,スキマスイッチ,sukimasuitchi
ス,鈴木愛理,suzuki-eri
ス,ストレイテナー,sutoreitena-
ス,スプラトゥーン2,supuratou-n-2
ス,SMAP,smap
ス,鈴木みのり,suzuki-minori
ス,スカイピース,sukaipi-su
ス,テイラー・スウィフト,teirasuuifuto
ス,杉山清貴,sugiyama-kiyotaka
ス,THE STAR CLUB,the-star-club
ス,SUPER BEAVER,super-beaver
ス,SKY-HI,sky-hi
ス,Suara,suara
ス,すぎやまこういち,sugiyamakouichi
ス,SWANKY DANK,swanky-dank
セ,Sexy Zone,sexy-zone
セ,関裕美(CV:会沢紗弥)、三船美優(CV:原田彩楓)、村上巴(CV:花井美春),kan-hiromimifune-bi-yuumurakami-tomoe-
セ,SEX MACHINEGUNS,sex-machineguns
セ,ゼッド,zeddo
セ,瀬川あやか,segawa-ayaka
セ,cero,cero
セ,SEVENTEEN,seventeen
セ,SEKAI NO OWARI,sekai-no-owari
ソ,園田海未,sonoda-umi-hitsuji
ソ,Sonar Pocket,sonar-pocket
ソ,"SOIL&“PIMP""SESSIONS",soil“-pimpsessions
タ,竹原ピストル,takehara-pisutoru
タ,高木さん(CV:高橋李依),takagi-san-
タ,高橋優,takahashi-yuu
タ,立山秋航,tateyama-aki-kou
タ,竹中大地,takenaka-daichi
タ,玉置浩二,tamaki-kouji
タ,DYDARABOTCH & The DIE is CAST,dydarabotch-the-die-is-cast
タ,高橋真梨子,takahashi-mariko
タ,Da-iCE,da-ice
タ,DANCE EARTH PARTY,dance-earth-party
タ,竹内まりや,takeuchi-mariya
タ,タブゾンビ,tabuzonbi
タ,高橋洋子,takahashi-youko
タ,DAOKO,daoko
チ,チームしゃちほこ,chi-mu-shachihoko
チ,CHiCO with HoneyWorks,chico-with-honeyworks
チ,茅原実里,me-hara-mi-sato
チ,チェッカーズ,chekka-zu
チ,チープ・トリック,chi-pu-torikku
チ,超特急,choutokkyuu
チ,ちあきなおみ,chiakinaomi
チ,CHAI,chai
チ,チャラン・ポ・ランタン,charan-po-rantan
チ,Chage,chage
ツ,辻井伸行,tsujii-nobuyuki
テ,T.M.Revolution,t-m-revolution
テ,DIR EN GREY,dir-en-grey
テ,でんぱ組.inc,denpa-kumiinc
テ,DJ RYOW,dj-ryow
テ,TV Soundtrack,tv-soundtrack
テ,手嶌葵,tejima-aoi
テ,テレサ・テン,teresa-ten
テ,天童よしみ,tendou-yoshimi
テ,DISH//,dish
テ,Dizzy Sunfist,dizzy-sunfist
テ,傳田真央,denda-mao
テ,TM NETWORK,tm-network
テ,マイルス・デイヴィス,mairusu-deivisu
テ,DEEN,deen
ト,刀剣男士 formation of つはもの,touken-otoko-samurai-formation-of-tsuhamono
ト,東京スカパラダイスオーケストラ,toukyou-sukaparadaisuo-kesutora
ト,TWICE,twice
ト,東條希,toujou-mare
ト,DOBERMAN INFINITY,doberman-infinity
ト,Dream Ami,dream-ami
ト,DREAMS COME TRUE,dreams-come-true
ト,TRUE,true
ト,東方神起,touhou-kami-ki
ト,東京ハイジ,toukyou-haiji
ト,とんねるず,tonneruzu
ト,TrySail,trysail
ト,AAA,aaa
ト,堂本剛,dou-hon-tsuyoshi
ト,TRI4TH,tri4th
ト,土岐麻子,toki-asako
ト,東京都交響楽団,toukyouto-koukyougakudan
ナ,中島みゆき,nakashima-miyuki
ナ,Nulbarich,nulbarich
ナ,中島美嘉,nakashima-bi-ka
ナ,Knights,knights
ナ,NAMIE AMURO,namie-amuro
ナ,中田ヤスタカ,nakada-yasutaka
ナ,Nothing's Carved In Stone,nothings-carved-in-stone
ナ,中森明菜,nakamoriakina
ナ,NakamuraEmi,nakamuraemi
ニ,西野カナ,nishino-kana
ニ,NEWS,news
ニ,西木野真姫,nishi-kino-makoto-hime
ニ,任天堂,nintendou
ニ,西川貴教,nishikawa-takashi-kyou
ネ,Neru,neru
ノ,乃木坂46,nogizaka-46
ノ,NOKKO,nokko
ハ,BUCK-TICK,buck-tick
ハ,早坂美玲(CV:朝井彩加)、森久保乃々(CV:高橋花林)、星輝子(CV:松田颯水),hayasaka-bi-reimori-kubo-nohoshi-teruko-
ハ,Perfume,perfume
ハ,back number,back-number
ハ,半崎美子,han-saki-yoshiko
ハ,林原めぐみ,hayashibara-megumi
ハ,花田ゆういちろう、小野あつこ,hanada-yuuichirou-ono-atsuko
ハ,BAND-MAID,band-maid
ハ,the band apart,the-band-apart
ハ,パスピエ,pasupie
ハ,浜田省吾,hamada-shougo
ハ,般若,hannya
ハ,葉加瀬太郎、高嶋ちさ子、古澤巌,ha-kase-tarou-takashima-chisa-ko-furusawa-gan
ハ,BUMP OF CHICKEN,bump-of-chicken
ハ,林部智史,hayashi-bu-satoshi
ハ,秦基博,shin-moto-hiroshi
ハ,THE BACK HORN,the-back-horn
ハ,ハービー・ハンコック,ha-bihankokku
ハ,バルーン,baru-n
ハ,Hump Back,hump-back
ハ,HACHI,hachi
ハ,HAYAMI SAORI,hayami-saori
ハ,クリス・ハート,kurisu-ha-to
ハ,PassCode,passcode
ハ,ハルカミライ,harukamirai
ハ,ハロウィン,harouin
ヒ,BTS(防弾少年団),bts
ヒ,B.A.P,b-a-p
ヒ,BTS (防弾少年団),bts-
ヒ,BiSH,bish
ヒ,B'z,bz
ヒ,ザ・ビートルズ,za-bi-toruzu
ヒ,平井堅,hirai-ken
ヒ,B1A4,b1a4
ヒ,ヒット・エンド・ラン,hitto-endo-ran
ヒ,ビッケブランカ,bikkeburanka
ヒ,Beverly,beverly
ヒ,平原綾香,heigen-aya-kaori
ヒ,→Pia-no-jaC←,→-pia-no-jac-←
ヒ,ビーグルクルー,bi-gurukuru-
ヒ,平井大,hirai-dai
ヒ,平田志穂子 feat.川村ゆみ,hirata-shiho-ko-featkawamura-yumi
ヒ,平田志穂子,hirata-shiho-ko
フ,BLACKPINK,blackpink
フ,fhana,fhana
フ,プリンセススターズ,purinsesusuta-zu
フ,Bruno Mars,bruno-mars
フ,BULL ZEICHEN 88,bull-zeichen-88
フ,ファンキー加藤,fankikatou
フ,福田こうへい,fukuda-kouhei
フ,藤田麻衣子,fujita-maiko
フ,藤澤慶昌,fujisawa-yoshi-masa
フ,BLUE ENCOUNT,blue-encount
フ,"Fear, and Loathing in Las Vegas",fearand-loathing-in-las-vegas
フ,トミー・フラナガン,tomifuranagan
フ,ブリーフ&トランクス,buri-fu-torankusu
フ,福山雅治,fukuyama-masa-osamu
フ,フェアリーズ,feari-zu
フ,fripSide,fripside
フ,FLOW,flow
フ,FLOWER FLOWER,flower-flower
フ,BRADIO,bradio
フ,FALL OUT BOY,fall-out-boy
ヘ,ベリーグッドマン,beri-guddoman
ヘ,BENI,beni
ヘ,ケイティ・ペリー,keitei-peri-
ヘ,Hey! Say! JUMP,hey-say-jump
ヘ,ペンタトニックス,pentatonikkusu
ヘ,ベルリン・フィルハーモニー管弦楽団,berurin-firuha-monikangengakudan
ヘ,PPP（Penguins Performance Project),ppp-（-penguins-performance-project)
ヘ,BABYMETAL,babymetal
ホ,ポルノグラフィティ,porunogurafitei
ホ,星野源,hoshino-gen
ホ,星空凛,hoshizora-rin
ホ,ポルカドットスティングレイ,porukadottosuteingurei
ホ,The BONEZ,the-bonez
ホ,BOOWY,boowy
ホ,デヴィッド・ボウイ,deviddo-boui
ホ,THE BAWDIES,the-bawdies
ホ,BoA,boa
ホ,Poppin’Party,poppinparty
マ,松任谷由実,matsutouya-yumi
マ,ブルーノ・マーズ,buru-no-ma-zu
マ,MAN WITH A MISSION,man-with-a-mission
マ,松本淳一,matsumoto-junichi
マ,松田聖子,matsudaseiko
マ,MIGHTY CROWN,mighty-crown
マ,MY FIRST STORY,my-first-story
マ,My Hair is Bad,my-hair-is-bad
マ,マイケル・シェンカー・フェスト,maikeru-shienkafesuto
マ,松山千春,matsuyamachiharu
マ,マルーン5,maru-n-5
マ,まふまふ,mafumafu
マ,牧野由依,makino-yu-i
マ,松たか子,matsu-taka-ko
マ,まねきケチャ,maneki-kecha
マ,まらしぃ,marashii
ミ,三浦大知,miura-dai-chi
ミ,南ことり,minami-kotori
ミ,Mrs.GREEN APPLE,mrs-green-apple
ミ,μ's,μ-s
ミ,Mr.Children,mr-children
ミ,宮本佳那子 ほか,miyamoto-ka-na-ko-hoka
ミ,miwa,miwa
ミ,水瀬いのり,mizu-se-inori
ミ,三浦祐太朗,miura-suke-tarou
ミ,ミコチ(CV.下地紫野)&コンジュ(CV.悠木碧),mikochi-konju-
ミ,ミッツ・マングローブ,mittsu-manguro-bu
ミ,miracle2,miracle2
ミ,水森かおり,mizu-mori-kaori
ミ,MISIA,misia
ミ,三山ひろし,miyama-hiroshi
ミ,Ms.OOJA,ms-ooja
ミ,水瀬いのり／花澤香菜,mizu-se-inori-hanazawa-kaori-na
ミ,水田竜子,suiden-ryuuko
ミ,宮野真守,miyano-makoto-shu
ミ,光田康典/ACE(工藤ともり、CHiCO)/平松建治/清田愛未,kouda-yasushi-ten-ace-hiramatsu-ken-osamukiyoda-ai-hitsuji
ム,moumoon,moumoon
メ,May'n,mayn
メ,"MEZZO""",mezzo
メ,眩暈SIREN,genun-siren
メ,目黒将司・小林哲也,meguro-shouji-kobayashi-tetsuya
モ,ももいろクローバーZ,momoiro-kuro-baz
モ,MONSTA X,monsta-x
モ,MONKEY MAJIK,monkey-majik
モ,MONDO GROSSO,mondo-grosso
モ,森口博子,moriguchi-hiroko
モ,森田童子,morita-douji
モ,MOMOLAND,momoland
モ,MONOEYES,monoeyes
ヤ,山内惠介,yamauchi-megumi-suke
ヤ,矢澤にこ,yazawa-niko
ヤ,YAMA-KAN,yama-kan
ヤ,ヤバイTシャツ屋さん,yabai-t-shatsu-ya-san
ヤ,山下達郎,yamashitatatsurou
ヤ,矢沢永吉,yazawa-eikichi
ヤ,薬師丸ひろ子,yakushimaruhiroko
ヤ,山猿,yama-saru
ヤ,安野希世乃,anno-mare-yo-no
ヤ,矢部達哉,yabe-tatsuya
ユ,ゆず,yuzu
ユ,UNISON SQUARE GARDEN,unison-square-garden
ユ,YUKI,yuki
ユ,遊佐未森,yusa-mimori
ユ,遊助,yuu-jo
ユ,Yuji Nakada,yuji-nakada
ユ,U2,u2
ユ,悠木碧,yuu-ki-heki
ヨ,米津玄師,kome-tsu-gen-shi
ヨ,吉澤嘉代子,yoshizawa-kashiro-ko
ヨ,米倉利紀,yonekura-ri-ki
ヨ,吉田拓郎,yoshida-takurou
ラ,L'Arc-en-Ciel,larc-en-ciel
ラ,ラストアイドル,rasutoaidoru
ラ,THE RAMPAGE from EXILE TRIBE,the-rampage-from-exile-tribe
ラ,RIZE,rize
ラ,RADWIMPS,radwimps
ラ,LOUDNESS,loudness
ラ,ライオット,raiotto
ラ,Ra*bits,ra-bits
リ,Little Glee Monster,little-glee-monster
リ,LiSA,lisa
リ,リッチー・ブラックモアズ・レインボー,ritchiburakkumoazu-reinbo-
リ,凛として時雨,rin-toshite-shigure
リ,緑黄色社会,midori-kiiro-shakai
リ,Lead,lead
リ,lynch.,lynch-
レ,RED SPIDER,red-spider
レ,レッド・ツェッペリン,reddo-tsuepperin
レ,ReN,ren
レ,ケアリイ・レイシェル,kearii-reishieru
ロ,Roselia,roselia
ロ,ROTTENGRAFFTY,rottengraffty
ワ,和楽器バンド,wagakki-bando
ワ,ONE OK ROCK,one-ok-rock
ワ,WANIMA,wanima
ワ,ワルキューレ,warukyu-re
ワ,Wanna One,wanna-one
ワ,渡辺美里,watanabe-misato
ワ,ONEPIXCEL,onepixcel
