行,名前,ローマ字
エ,ビル・エヴァンス,biru-evansu
エ,m-flo,emufurou
エ,AA=,aa
エ,STU48,stu48
エ,EXO,exo
エ,SA,sa
エ,A3ders!,a3ders
エ,X JAPAN,ekkusujapan
エ,X,x
エ,EGOIST,egoisuto
エ,HKT48,hkt48
エ,ACOON HIBINO,acoon-hibino
エ,NCT,nct
エ,EXILE SHOKICHI,exile-shokichi
オ,小田和正,odakazumasa
オ,及川光博,oikawamitsuhiro
オ,大原櫻子,oohara-sakurako
オ,陰陽座,onmyouza
オ,Official髭男dism,official-hige-otoko-dism
オ,大橋トリオ,oohashi-torio
オ,岡崎体育,okazaki-taiiku
オ,小沢健二,ozawakenji
オ,大原ゆい子,oohara-yui-ko
オ,小野大輔,ono-daisuke
オ,丘みどり,oka-midori
オ,荻野目洋子,oginomeyouko
オ,ORESAMA,oresama
オ,大滝詠一,ootakieiichi
オ,奥田民生,okudatamio
オ,大橋彩香,oohashi-sai-kaori
オ,小野リサ,onorisa
オ,大貫妙子,oonukitaeko
オ,大西順子,oonishi-junko
カ,関ジャニ∞,kan-jani-∞
カ,KAT-TUN,katou-n
カ,the GazettE,gazetto
カ,GARNiDELiA,garnidelia
カ,角松敏生,kadomatsutoshiki
カ,加藤ミリヤ,katoumiriya
カ,KAN,kan
カ,Kalafina,karafina
カ,川嶋あい,kawashimaai
カ,カーペンターズ,ka-penta-zu
カ,川井憲次,kawai-nori-tsugi
カ,カミラ・カベロ,kamira-kabero
カ,ヘルベルト・フォン・カラヤン,heruberuto-fon-karayan
カ,CAMILA CABELLO,camila-cabello
キ,Kis-My-Ft2,kisumaifuttotsu-
キ,King & Prince,king-prince
キ,KinKi Kids,kinkikizzu
キ,XX:me,xx:me
キ,キュアエール(CV:引坂理絵)、キュアアンジュ(CV:本泉莉奈)、キュアエトワール(CV:小倉唯),kyuae-rukyuaanjukyuaetowa-ru
キ,Kiroro,kiroro
キ,ロリー・ギャラガー,rorigyaraga-
キ,キングダム・カム,kingudamu-kamu
ク,GReeeeN,guri-n
ク,GLIM SPANKY,glim-spanky
ク,夜想令嬢ーGRAC&E NOCTURNE-,yoru-sou-reijou-grac-e-nocturne-
ク,Cleasky,cleasky
ク,熊木杏里,kumakianri
ク,Goose house,goose-house
ク,久保田利伸,kubotatoshinobu
ク,Creepy Nuts,creepy-nuts
ク,ClariS,kurarisu
ク,Growth,growth
ク,くるり,kururi
ク,倉木麻衣,kurakimai
ク,桑田佳祐,kuwatakeisuke
ク,クイーン,kui-n
ケ,欅坂46,keyaki-saka-46
ケ,ケツメイシ,ketsumeishi
ケ,Ken Yokoyama/NAMBA69,ken-yokoyamanamba69
コ,コブクロ,kobukuro
コ,小泉花陽,koizumi-hana-you
コ,高坂穂乃果,takasaka-ho-no-ka
コ,倖田來未,koudakumi
コ,こぶしファクトリー,kobushi-fakutori-
コ,エバン・コール,eban-ko-ru
コ,郷ひろみ,gouhiromi
コ,ゴールデンボンバー,go-rudenbonba-
コ,コーネリアス,ko-neriasu
コ,ゴスペラーズ,gosupera-zu
コ,KOKIA,kokia
サ,サカナクション,sakanakushon
サ,佐々木恵梨,sasaki-megumi-nashi
サ,斉藤和義,saitoukazuyoshi
サ,佐野元春 ＆ ザ・ホーボー・キング・バンド,sano-motoharu-za-ho-bokingu-bando
サ,Suchmos,suchmos
サ,沢田研二,sawadakenji
サ,さユり,sa-yu-ri
サ,彩、神速一魂、THE虎牙道,sai-kami-soku-ichi-tamashii-the-tora-kiba-michi
サ,サザンオールスターズ,sazan-o-rusuta-zu
サ,saya,saya
サ,SawanoHiroyukinZk,sawanohiroyukinzk
サ,桜田淳子,sakurada-junko
サ,さだまさし,sadamasashi
サ,崎山つばさ with 桜men,sakiyama-tsubasa-with-sakura-men
サ,坂本真綾,sakamotomaaya
サ,坂本美雨,sakamotomiu
サ,三代目J Soul Brothers from EXILE TRIBE,sandaime-j-soul-brothers-from-exile-tribe
サ,坂口有望,sakaguchi-yuubou
シ,SHINee,shinee
シ,JUJU,juju
シ,椎名林檎,shiinaringo
シ,Juice=Juice,juicejuice
シ,ジャニーズWEST,jani-zu-west
シ,シド,shido
シ,Jun.K(From 2PM),jun-k
シ,SHISHAMO,shishamo
シ,島津亜矢,shimazu-a-ya
シ,GENERATIONS from EXILE TRIBE,generations-from-exile-tribe
シ,エド・シーラン,edo-shi-ran
シ,GENERATIONS　from　EXILE　TRIBE,generations-from-exile-tribe
シ,シェネル,shieneru
シ,JUNNA,junna
シ,シーア,shi-a
シ,GFRIEND,gfriend
シ,篠崎愛,shinozaki-ai
シ,ビリー・ジョエル,birijoeru
シ,ショコラ,shokora
シ,丈青,take-ao
シ,C&K,c-k
シ,湘南乃風,shounannokaze
シ,SIX LOUNGE,six-lounge
シ,ZIGGY,jigi-
シ,清水翔太,shimizushouta
シ,Siena Wind Orchestra,siena-wind-orchestra
シ,SING LIKE TALKING,shinguraikuto-kingu
シ,シリア・ポール,shiria-po-ru
シ,Judas Priest,judas-priest
ス,菅田将暉,sugata-shou-ki
ス,Superfly,su-pa-furai
ス,sumika,sumika
ス,スピッツ,supittsu
ス,スキマスイッチ,sukimasuitchi
ス,鈴木愛理,suzuki-eri
ス,ストレイテナー,sutoreitena-
ス,スプラトゥーン2,supuratou-n-2
ス,SMAP,sumappu
ス,鈴木みのり,suzuki-minori
ス,スカイピース,sukaipi-su
ス,テイラー・スウィフト,teirasuuifuto
ス,杉山清貴,sugiyamakiyotaka
ス,THE STAR CLUB,the-star-club
ス,SUPER BEAVER,super-beaver
ス,SKY-HI,sky-hi
ス,Suara,suara
ス,すぎやまこういち,sugiyamakouichi
ス,SWANKY DANK,swanky-dank
セ,Sexy Zone,sexy-zone
セ,関裕美(CV:会沢紗弥)、三船美優(CV:原田彩楓)、村上巴(CV:花井美春),kan-hiromimifune-bi-yuumurakami-tomoe
セ,SEX MACHINEGUNS,sex-machineguns
セ,ゼッド,zeddo
セ,瀬川あやか,segawa-ayaka
セ,cero,cero
セ,SEVENTEEN,seventeen
セ,SEKAI NO OWARI,sekainoowari
ソ,園田海未,sonoda-umi-hitsuji
ソ,Sonar Pocket,sona-poketto
ソ,"SOIL&“PIMP""SESSIONS",soil-pimpsessions
タ,竹原ピストル,takehara-pisutoru
タ,高木さん(CV:高橋李依),takagi-san
タ,高橋優,takahashiyuu
タ,立山秋航,tateyama-aki-kou
タ,竹中大地,takenaka-daichi
タ,玉置浩二,tamakikouji
タ,DYDARABOTCH & The DIE is CAST,dydarabotch-the-die-is-cast
タ,高橋真梨子,takahashimariko
タ,Da-iCE,da-ice
タ,DANCE EARTH PARTY,dance-earth-party
タ,竹内まりや,takeuchimariya
タ,タブゾンビ,tabuzonbi
タ,高橋洋子,takahashiyouko
タ,DAOKO,daoko
チ,チームしゃちほこ,chi-mu-shachihoko
チ,CHiCO with HoneyWorks,chico-with-honeyworks
チ,茅原実里,chiharaminori
チ,チェッカーズ,chekka-zu
チ,チープ・トリック,chi-pu-torikku
チ,超特急,choutokkyuu
チ,ちあきなおみ,chiakinaomi
チ,CHAI,chai
チ,チャラン・ポ・ランタン,charan-po-rantan
チ,Chage,chage
ツ,辻井伸行,tsujii-nobuyuki
テ,T.M.Revolution,tei-emureboryu-shon
テ,DIR EN GREY,dir-en-grey
テ,でんぱ組.inc,denpagumi-inc
テ,DJ RYOW,dj-ryow
テ,TV Soundtrack,tv-soundtrack
テ,手嶌葵,teshimaaoi
テ,テレサ・テン,teresa-ten
テ,天童よしみ,tendou-yoshimi
テ,DISH//,dish
テ,Dizzy Sunfist,dizzy-sunfist
テ,傳田真央,denda-mao
テ,TM NETWORK,tei-emunettowa-ku
テ,マイルス・デイヴィス,mairusu-deivisu
テ,DEEN,di-n
ト,刀剣男士 formation of つはもの,touken-otoko-samurai-formation-of-tsuhamono
ト,東京スカパラダイスオーケストラ,toukyousukaparadaisuo-kesutora
ト,TWICE,twice
ト,東條希,toujou-mare
ト,DOBERMAN INFINITY,doberman-infinity
ト,Dream Ami,dream-ami
ト,DREAMS COME TRUE,dori-muzukamutouru-
ト,TRUE,true
ト,東方神起,touhoushinki
ト,東京ハイジ,toukyou-haiji
ト,とんねるず,tonneruzu
ト,TrySail,trysail
ト,AAA,toripurue-
ト,堂本剛,doumototsuyoshi
ト,TRI4TH,tri4th
ト,土岐麻子,tokiasako
ト,東京都交響楽団,toukyouto-koukyougakudan
ナ,中島みゆき,nakajimamiyuki
ナ,Nulbarich,nulbarich
ナ,中島美嘉,nakashimamika
ナ,Knights,knights
ナ,NAMIE AMURO,namie-amuro
ナ,中田ヤスタカ,nakada-yasutaka
ナ,Nothing's Carved In Stone,nothings-carved-in-stone
ナ,中森明菜,nakamoriakina
ナ,NakamuraEmi,nakamuraemi
ニ,西野カナ,nishinokana
ニ,NEWS,nyu-su
ニ,西木野真姫,nishi-kino-makoto-hime
ニ,任天堂,nintendou
ニ,西川貴教,nishikawa-takashi-kyou
ネ,Neru,neru
ノ,乃木坂46,nogizaka46
ノ,NOKKO,nokko
ハ,BUCK-TICK,bakuchiku
ハ,早坂美玲(CV:朝井彩加)、森久保乃々(CV:高橋花林)、星輝子(CV:松田颯水),hayasaka-bi-reimori-kubo-nohoshi-teruko
ハ,Perfume,pafuyu-mu
ハ,back number,back-number
ハ,半崎美子,han-saki-yoshiko
ハ,林原めぐみ,hayashibaramegumi
ハ,花田ゆういちろう、小野あつこ,hanada-yuuichirou-ono-atsuko
ハ,BAND-MAID,band-maid
ハ,the band apart,bandoapa-to
ハ,パスピエ,pasupie
ハ,浜田省吾,hamadashougo
ハ,般若,hannya
ハ,葉加瀬太郎、高嶋ちさ子、古澤巌,ha-kase-tarou-takashima-chisa-ko-furusawa-gan
ハ,BUMP OF CHICKEN,banpuobuchikin
ハ,林部智史,hayashi-bu-satoshi
ハ,秦基博,hatamotohiro
ハ,THE BACK HORN,bakkuho-n
ハ,ハービー・ハンコック,ha-bihankokku
ハ,バルーン,baru-n
ハ,Hump Back,hump-back
ハ,HACHI,hachi
ハ,HAYAMI SAORI,hayami-saori
ハ,クリス・ハート,kurisu-ha-to
ハ,PassCode,passcode
ハ,ハルカミライ,harukamirai
ハ,ハロウィン,harouin
ヒ,BTS(防弾少年団),bts
ヒ,B.A.P,b-a-p
ヒ,BiSH,bish
ヒ,B'z,bi-zu
ヒ,ザ・ビートルズ,za-bi-toruzu
ヒ,平井堅,hiraiken
ヒ,B1A4,b1a4
ヒ,ヒット・エンド・ラン,hitto-endo-ran
ヒ,ビッケブランカ,bikkeburanka
ヒ,Beverly,beverly
ヒ,平原綾香,hiraharaayaka
ヒ,→Pia-no-jaC←,pianojakku
ヒ,ビーグルクルー,bi-gurukuru-
ヒ,平井大,hirai-dai
ヒ,平田志穂子 feat.川村ゆみ,hirata-shiho-ko-featkawamura-yumi
ヒ,平田志穂子,hirata-shiho-ko
フ,BLACKPINK,blackpink
フ,fhana,fhana
フ,プリンセススターズ,purinsesusuta-zu
フ,ブルーノ・マーズ,bruno-mars
フ,BULL ZEICHEN 88,bull-zeichen-88
フ,ファンキー加藤,fankikatou
フ,福田こうへい,fukuda-kouhei
フ,藤田麻衣子,fujitamaiko
フ,藤澤慶昌,fujisawa-yoshi-masa
フ,BLUE ENCOUNT,blue-encount
フ,"Fear, and Loathing in Las Vegas",fearand-loathing-in-las-vegas
フ,トミー・フラナガン,tomifuranagan
フ,ブリーフ&トランクス,buri-fu-torankusu
フ,福山雅治,fukuyamamasaharu
フ,フェアリーズ,feari-zu
フ,fripSide,furippusaido
フ,FLOW,furou
フ,FLOWER FLOWER,flower-flower
フ,BRADIO,bradio
フ,FALL OUT BOY,fall-out-boy
ヘ,ベリーグッドマン,beri-guddoman
ヘ,BENI,beni
ヘ,ケイティ・ペリー,keitei-peri-
ヘ,Hey! Say! JUMP,hey-say-jump
ヘ,ペンタトニックス,pentatonikkusu
ヘ,ベルリン・フィルハーモニー管弦楽団,berurin-firuha-monikangengakudan
ヘ,PPP（Penguins Performance Project),ppp
ヘ,BABYMETAL,babymetal
ホ,ポルノグラフィティ,porunogurafitei
ホ,星野源,hoshinogen
ホ,星空凛,hoshizora-rin
ホ,ポルカドットスティングレイ,porukadottosuteingurei
ホ,The BONEZ,the-bonez
ホ,BOOWY,boui
ホ,デヴィッド・ボウイ,deviddo-boui
ホ,THE BAWDIES,boudi-zu
ホ,BoA,boa
ホ,Poppin’Party,poppinparty
マ,松任谷由実,matsutouyayumi
マ,MAN WITH A MISSION,man-with-a-mission
マ,松本淳一,matsumoto-junichi
マ,松田聖子,matsudaseiko
マ,MIGHTY CROWN,mighty-crown
マ,MY FIRST STORY,my-first-story
マ,My Hair is Bad,my-hair-is-bad
マ,マイケル・シェンカー・フェスト,maikeru-shienkafesuto
マ,松山千春,matsuyamachiharu
マ,マルーン5,maru-n5
マ,まふまふ,mafumafu
マ,牧野由依,makinoyui
マ,松たか子,matsutakako
マ,まねきケチャ,maneki-kecha
マ,まらしぃ,marashii
ミ,三浦大知,miuradaichi
ミ,南ことり,minami-kotori
ミ,Mrs.GREEN APPLE,mrs-green-apple
ミ,μ's,μ-s
ミ,Mr.Children,misuta-chirudoren
ミ,宮本佳那子 ほか,miyamoto-ka-na-ko-hoka
ミ,miwa,miwa
ミ,水瀬いのり,mizu-se-inori
ミ,三浦祐太朗,miura-suke-tarou
ミ,ミコチ(CV.下地紫野)&コンジュ(CV.悠木碧),mikochi-konju
ミ,ミッツ・マングローブ,mittsu-manguro-bu
ミ,miracle2,miracle2
ミ,水森かおり,mizu-mori-kaori
ミ,MISIA,mi-sha
ミ,三山ひろし,miyama-hiroshi
ミ,Ms.OOJA,ms-ooja
ミ,水瀬いのり／花澤香菜,mizu-se-inori-hanazawa-kaori-na
ミ,水田竜子,suiden-ryuuko
ミ,宮野真守,miyanomamoru
ミ,光田康典/ACE(工藤ともり、CHiCO)/平松建治/清田愛未,kouda-yasushi-ten-ace-hiramatsu-ken-osamukiyoda-ai-hitsuji
ム,moumoon,mu-mu-n
メ,May'n,mein
メ,MEZZO,mezzo
メ,眩暈SIREN,genun-siren
メ,目黒将司・小林哲也,meguro-shouji-kobayashi-tetsuya
モ,ももいろクローバーZ,momoirokuro-ba-zetto
モ,MONSTA X,monsta-x
モ,MONKEY MAJIK,monkey-majik
モ,MONDO GROSSO,mondo-grosso
モ,森口博子,moriguchihiroko
モ,森田童子,moritadouji
モ,MOMOLAND,momoland
モ,MONOEYES,monoeyes
ヤ,山内惠介,yamauchi-megumi-suke
ヤ,矢澤にこ,yazawa-niko
ヤ,YAMA-KAN,yama-kan
ヤ,ヤバイTシャツ屋さん,yabai-t-shatsu-ya-san
ヤ,山下達郎,yamashitatatsurou
ヤ,矢沢永吉,yazawaeikichi
ヤ,薬師丸ひろ子,yakushimaruhiroko
ヤ,山猿,yama-saru
ヤ,安野希世乃,anno-mare-yo-no
ヤ,矢部達哉,yabe-tatsuya
ユ,ゆず,yuzu
ユ,UNISON SQUARE GARDEN,unison-square-garden
ユ,YUKI,yuki
ユ,遊佐未森,yusamimori
ユ,遊助,yuusuke
ユ,Yuji Nakada,yuji-nakada
ユ,U2,u2
ユ,悠木碧,yuu-ki-heki
ヨ,米津玄師,kome-tsu-gen-shi
ヨ,吉澤嘉代子,yoshizawa-kashiro-ko
ヨ,米倉利紀,yonekuratoshinori
ヨ,吉田拓郎,yoshidatakurou
ラ,L'Arc-en-Ciel,larc-en-ciel
ラ,ラストアイドル,rasutoaidoru
ラ,THE RAMPAGE from EXILE TRIBE,the-rampage-from-exile-tribe
ラ,RIZE,raizu
ラ,RADWIMPS,radwimps
ラ,LOUDNESS,loudness
ラ,ライオット,raiotto
ラ,Ra*bits,ra-bits
リ,Little Glee Monster,little-glee-monster
リ,LiSA,lisa
リ,リッチー・ブラックモアズ・レインボー,ritchiburakkumoazu-reinbo-
リ,凛として時雨,rintoshiteshigure
リ,緑黄色社会,midori-kiiro-shakai
リ,Lead,ri-do
リ,lynch.,lynch-
レ,RED SPIDER,red-spider
レ,レッド・ツェッペリン,reddo-tsuepperin
レ,ReN,ren
レ,ケアリイ・レイシェル,kearii-reishieru
ロ,Roselia,roselia
ロ,ROTTENGRAFFTY,rottengraffty
ワ,和楽器バンド,wagakki-bando
ワ,ONE OK ROCK,one-ok-rock
ワ,WANIMA,wanima
ワ,ワルキューレ,warukyu-re
ワ,Wanna One,wanna-one
ワ,渡辺美里,watanabemisato
ワ,ONEPIXCEL,onepixcel
